Dr. B R Ambedkar National Institute of Technology, Jalandhar!Bio Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2675!2875
National Institute of Technology Calicut!Architecture (5 Years, Bachelor of Architecture)!OS!Gender-Neutral!85!85
National Institute of Technology Calicut!Bio Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1867!1867
National Institute of Technology Calicut!Chemical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1628!1689
National Institute of Technology Calicut!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1230!1515
National Institute of Technology Calicut!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!229!269
National Institute of Technology Calicut!Electrical and Electronics Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!468!869
National Institute of Technology Calicut!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!320!411
National Institute of Technology Calicut!Engineering Physics (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1258!1258
National Institute of Technology Calicut!Materials Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1940!1940
National Institute of Technology Calicut!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1090!1466
National Institute of Technology Calicut!Production Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1889!1889
National Institute of Technology Delhi!Aerospace Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!785!785
National Institute of Technology Delhi!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!379!379
National Institute of Technology Delhi!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!334!443
National Institute of Technology Delhi!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1337!1448
National Institute of Technology Delhi!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!905!991
National Institute of Technology Delhi!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1423!1423
National Institute of Technology Delhi!VLSI Design and Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1730!1730
National Institute of Technology Durgapur!B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)!OS!Gender-Neutral!847!847
National Institute of Technology Durgapur!Bio Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2439!2906
National Institute of Technology Durgapur!Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))!OS!Gender-Neutral!2920!2920
National Institute of Technology Durgapur!Chemical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2030!2084
National Institute of Technology Durgapur!Chemistry (5 Years, Integrated Master of Science)!OS!Gender-Neutral!3238!3238
National Institute of Technology Durgapur!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1543!1585
National Institute of Technology Durgapur!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!393!458
National Institute of Technology Durgapur!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1093!1139
National Institute of Technology Durgapur!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!603!757
National Institute of Technology Durgapur!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1242!1915
National Institute of Technology Durgapur!Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2660!2844
National Institute of Technology Goa!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2138!2138
National Institute of Technology Goa!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!626!626
National Institute of Technology Goa!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1085!1474
National Institute of Technology Goa!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2319!2319
National Institute of Technology Hamirpur!Architecture (5 Years, Bachelor of Architecture)!OS!Gender-Neutral!120!161
National Institute of Technology Hamirpur!Chemical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2369!2886
National Institute of Technology Hamirpur!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1715!1911
National Institute of Technology Hamirpur!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!676!1084
National Institute of Technology Hamirpur!Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))!OS!Gender-Neutral!1227!1227
National Institute of Technology Hamirpur!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1568!2029
National Institute of Technology Hamirpur!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1281!1416
National Institute of Technology Hamirpur!Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))!OS!Gender-Neutral!2164!2164
National Institute of Technology Hamirpur!Engineering Physics (4 Years, Bachelor of Technology)!OS!Gender-Neutral!3096!3096
National Institute of Technology Hamirpur!Materials Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!3110!3191
National Institute of Technology Hamirpur!Mathematics and Computing (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1521!1521
National Institute of Technology Hamirpur!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2095!2365
National Institute of Technology Karnataka, Surathkal!Artificial Intelligence (4 Years, Bachelor of Technology)!OS!Gender-Neutral!224!224
National Institute of Technology Karnataka, Surathkal!Chemical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1206!1229
National Institute of Technology Karnataka, Surathkal!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!571!1010
National Institute of Technology Karnataka, Surathkal!Computational and Data Science (4 Years, Bachelor of Technology)!OS!Gender-Neutral!232!232
National Institute of Technology Karnataka, Surathkal!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!107!153
National Institute of Technology Karnataka, Surathkal!Electrical and Electronics Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!143!366
National Institute of Technology Karnataka, Surathkal!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!271!309
National Institute of Technology Karnataka, Surathkal!Information Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!158!158
National Institute of Technology Karnataka, Surathkal!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!955!1162
National Institute of Technology Karnataka, Surathkal!Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1958!2069
National Institute of Technology Karnataka, Surathkal!Mining Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1465!1538
National Institute of Technology Meghalaya!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2156!2156
National Institute of Technology Meghalaya!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1031!1031
National Institute of Technology Meghalaya!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1463!1463
