Movie Title,Image,Release Date,Duration Length,film Rating,Rating,Country of Origin,Genres,Language,Directors,Summary or Plot
26. Saving Private Ryan,"https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg","July 24, 1998 (United States)",2h 49m,R,8.6 (1.5M),United States,,"English, French, German, Czech",Steven Spielberg,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
27. It's a Wonderful Life,"https://m.media-amazon.com/images/M/MV5BMDM4OWFhYjEtNTE5Yy00NjcyLTg5N2UtZDQwNDZlYjlmNDU5XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg","January 7, 1947 (United States)",2h 10m,PG,8.6 (522K),United States,,"English, French",Frank Capra,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
28. Spirited Away,"https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg","March 28, 2003 (United States)",2h 4m,PG,8.6 (891K),"Japan, United States",,"Japanese, English",Hayao Miyazaki,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts."
29. Terminator 2: Judgment Day,"https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg","July 3, 1991 (United States)",2h 17m,R,8.6 (1.2M),"United States, France","Action, Adventure, Sci-Fi","English, Spanish",James Cameron,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
30. Life Is Beautiful,"https://m.media-amazon.com/images/M/MV5BZTBhOGYzZjQtYzE0Mi00MGIwLWE0MWYtNzMxNTM2OTFkM2NjXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","December 20, 1997 (Italy)",1h 56m,PG-13,8.6 (767K),Italy,,"Italian, German, English",Roberto Benigni,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
31. Seven Samurai,"https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","November 19, 1956 (United States)",3h 27m,Not Rated,8.6 (379K),Japan,,,Akira Kurosawa,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him."
32. Harakiri,"https://m.media-amazon.com/images/M/MV5BZThiZjU5ZDQtZDI4Mi00ZGYyLTkzOTktYmIzZTFlZTkxYzg5XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg",,2h 13m,Not Rated,8.6 (77K),,,,Masaki Kobayashi,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
33. Gladiator,"https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg","May 5, 2000 (United States)",2h 35m,R,8.5 (1.7M),"United States, United Kingdom, Malta, Morocco","Action, Adventure, Drama",English,Ridley Scott,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
34. Dune: Part Two,"https://m.media-amazon.com/images/M/MV5BNTc0YmQxMjEtODI5MC00NjFiLTlkMWUtOGQ5NjFmYWUyZGJhXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg","March 1, 2024 (United States)",2h 46m,PG-13,8.5 (584K),"United States, Canada, United Arab Emirates, Hungary, Italy, New Zealand, Jordan, Gambia","Action, Adventure, Drama, Sci-Fi",English,Denis Villeneuve,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
35. Parasite,"https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg","November 8, 2019 (United States)",2h 12m,R,8.5 (1M),South Korea,"Drama, Thriller","Korean, English",Bong Joon Ho,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
